zpid,price,latitude,longitude,beds,baths,area
29789516,425000.0,40.90114,-73.868359,4.0,2.0,1550.0
29789517,490000.0,40.901132,-73.868434,3.0,2.0,1380.0
29789518,380000.0,40.901121,-73.868542,3.0,2.0,1938.0
29789565,630000.0,40.897242,-73.865943,5.0,2.0,1816.0
29789638,690000.0,40.898639,-73.866461,5.0,3.0,2259.0
29789639,725000.0,40.898637,-73.866549,4.0,2.0,2259.0
29789657,485000.0,40.899557,-73.866311,3.0,2.0,1870.0
29789661,552500.0,40.899604,-73.865876,3.0,2.0,1800.0
29789686,535000.0,40.900264,-73.866229,4.0,3.0,2000.0
29789689,724000.0,40.900292,-73.865938,3.0,4.0,2400.0
29789729,467500.0,40.900721,-73.865804,4.0,2.0,1989.0
29789807,480000.0,40.901954,-73.86723,3.0,2.0,1520.0
29789814,531274.0,40.902633,-73.867398,3.0,2.0,1728.0
29789827,475000.0,40.899798,-73.864089,4.0,2.0,2043.0
29790229,285000.0,40.8068,-73.853389,2.0,2.0,1100.0
29790362,455000.0,40.80726,-73.857346,3.0,2.0,1378.0
29790363,380000.0,40.807455,-73.857441,4.0,2.0,1152.0
29790391,480000.0,40.80854,-73.857477,3.0,2.0,1200.0
29790410,499000.0,40.808785,-73.856932,3.0,2.0,1200.0
29790411,178000.0,40.808924,-73.857017,3.0,2.0,1680.0
29790520,495000.0,40.808311,-73.850455,3.0,2.0,1550.0
29790667,498750.0,40.809799,-73.854564,4.0,3.0,972.0
29790673,605000.0,40.809786,-73.853825,5.0,2.0,1730.0
29790684,439000.0,40.810628,-73.854081,2.0,2.0,1000.0
29790747,475000.0,40.810217,-73.850731,6.0,2.0,2200.0
29790754,393000.0,40.810786,-73.851056,4.0,3.0,1368.0
29790758,279900.0,40.811124,-73.850722,3.0,3.0,1455.0
29790777,270000.0,40.811181,-73.850145,3.0,2.0,1140.0
29790995,202500.0,40.811866,-73.855328,3.0,2.0,1180.0
29791002,490000.0,40.812107,-73.85453,3.0,2.0,1400.0
29791005,570000.0,40.812481,-73.854618,4.0,3.0,1500.0
29791016,425000.0,40.813032,-73.854722,3.0,4.0,1125.0
29791032,433000.0,40.812717,-73.853675,3.0,2.0,1600.0
29791101,765000.0,40.814073,-73.863434,7.0,3.0,2650.0
29791125,238000.0,40.813009,-73.862208,3.0,2.5,1708.0
29791177,415000.0,40.81307,-73.861643,4.0,3.0,1700.0
29791188,405000.0,40.813924,-73.861891,4.0,2.0,1910.0
29791245,500000.0,40.814861,-73.860908,3.0,3.0,1820.0
29791284,381000.0,40.814648,-73.860142,4.0,2.0,1620.0
29791312,505000.0,40.813544,-73.859517,4.0,2.0,1276.0
29791342,543000.0,40.814356,-73.858171,3.0,4.0,2075.0
29791481,425000.0,40.815688,-73.850742,3.0,2.0,1594.0
29791485,465000.0,40.814628,-73.849422,3.0,2.0,1908.0
29791579,385000.0,40.816309,-73.84879,3.0,2.0,1630.0
29791585,235000.0,40.815909,-73.848698,3.0,3.0,1630.0
29791602,250000.0,40.816203,-73.849163,5.0,2.0,1956.0
29791666,495000.0,40.816778,-73.846663,4.0,3.0,1944.0
29791718,370000.0,40.816259,-73.845585,3.0,3.0,1400.0
29791760,348808.0,40.81492,-73.864074,4.0,3.0,2200.0
29791795,479000.0,40.815701,-73.863834,5.0,3.0,1180.0
29791813,480000.0,40.815705,-73.863327,5.0,3.0,1281.0
